Heuristics: TotalHeight Bumpiness NumHoles RowsCleared,Fitness Function = rowsCleared, 30 particles 100 iterations
2018-04-11 00:47:12,2018-04-11 00:47:12,161
2018-04-11 00:47:12,2018-04-11 00:47:14,600
2018-04-11 00:47:14,2018-04-11 00:47:15,143
2018-04-11 00:47:15,2018-04-11 00:47:15,96
2018-04-11 00:47:15,2018-04-11 00:47:16,103
2018-04-11 00:47:16,2018-04-11 00:47:17,270
2018-04-11 00:47:17,2018-04-11 00:47:18,576
2018-04-11 00:47:18,2018-04-11 00:47:19,71
2018-04-11 00:47:19,2018-04-11 00:47:21,770
2018-04-11 00:47:21,2018-04-11 00:47:23,420
2018-04-11 00:47:23,2018-04-11 00:47:23,70
2018-04-11 00:47:23,2018-04-11 00:47:24,235
2018-04-11 00:47:24,2018-04-11 00:47:24,116
2018-04-11 00:47:24,2018-04-11 00:47:25,168
2018-04-11 00:47:25,2018-04-11 00:47:27,792
2018-04-11 00:47:27,2018-04-11 00:47:28,310
2018-04-11 00:47:28,2018-04-11 00:47:31,704
2018-04-11 00:47:31,2018-04-11 00:47:31,125
2018-04-11 00:47:31,2018-04-11 00:47:36,1238
2018-04-11 00:47:36,2018-04-11 00:47:37,310
2018-04-11 00:47:37,2018-04-11 00:47:39,839
2018-04-11 00:47:39,2018-04-11 00:47:41,326
2018-04-11 00:47:41,2018-04-11 00:47:41,238
2018-04-11 00:47:41,2018-04-11 00:47:42,315
2018-04-11 00:47:42,2018-04-11 00:47:44,395
2018-04-11 00:47:44,2018-04-11 00:47:52,2530
2018-04-11 00:47:52,2018-04-11 00:47:54,835
2018-04-11 00:47:54,2018-04-11 00:47:55,71
2018-04-11 00:47:55,2018-04-11 00:47:59,1293
2018-04-11 00:47:59,2018-04-11 00:48:03,1524
2018-04-11 00:48:04,2018-04-11 00:48:05,523
2018-04-11 00:48:05,2018-04-11 00:48:08,769
2018-04-11 00:48:08,2018-04-11 00:48:09,489
2018-04-11 00:48:09,2018-04-11 00:48:10,190
2018-04-11 00:48:10,2018-04-11 00:48:11,322
